,CurveSetCode,BandGapValue
0,0,"{0: 1.74971357, 1: 1.74378798, 2: 1.73787732, 3: 1.73202929, 4: 1.72616352, 5: 1.72026965, 6: 1.71435467, 7: 1.70843612, 15: 1.75559714, 14: 1.76146914, 13: 1.76734016, 12: 1.7732496, 11: 1.77917022, 10: 1.78496851, 9: 1.79094098, 8: 1.79678833}"
1,1,"{0: 1.75150542, 1: 1.74562842, 2: 1.7396969, 3: 1.73388201, 4: 1.72799301, 5: 1.72200633, 6: 1.71614872, 7: 1.71025598, 15: 1.75740956, 14: 1.76329809, 13: 1.76916085, 12: 1.77506994, 11: 1.78099418, 10: 1.78684653, 9: 1.79273158, 8: 1.79866083}"
2,2,"{0: 1.7535175, 1: 1.74754769, 2: 1.74163863, 3: 1.73580802, 4: 1.72986671, 5: 1.72393839, 6: 1.71804495, 7: 1.71213497, 15: 1.75930656, 14: 1.76529421, 13: 1.77116841, 12: 1.77712118, 11: 1.78295241, 10: 1.78881836, 9: 1.79480551, 8: 1.80065332}"
3,3,"{0: 1.75563126, 1: 1.74974737, 2: 1.74378246, 3: 1.73784748, 4: 1.73192329, 5: 1.72602109, 6: 1.72011281, 7: 1.71422928, 15: 1.76148937, 14: 1.76733736, 13: 1.77331772, 12: 1.77919699, 11: 1.78504754, 10: 1.79102679, 9: 1.79692072, 8: 1.80290692}"
4,4,"{0: 1.75799036, 1: 1.75209441, 2: 1.74618938, 3: 1.74026365, 4: 1.73434864, 5: 1.72849381, 6: 1.72252745, 7: 1.71660324, 15: 1.76391909, 14: 1.76989436, 13: 1.77580167, 12: 1.78172819, 11: 1.78760253, 10: 1.79352007, 9: 1.7994485, 8: 1.80536105}"
5,5,"{0: 1.76066834, 1: 1.75479415, 2: 1.7488515, 3: 1.74290546, 4: 1.73703737, 5: 1.7311187, 6: 1.72515939, 7: 1.71928101, 15: 1.76671089, 14: 1.77260798, 13: 1.77857561, 12: 1.78451748, 11: 1.79045235, 10: 1.79630351, 9: 1.80225596, 8: 1.80812723}"
6,6,"{0: 1.76374786, 1: 1.75783301, 2: 1.75184431, 3: 1.74593733, 4: 1.7400314, 5: 1.73403474, 6: 1.72811487, 7: 1.72218038, 15: 1.76964273, 14: 1.77564156, 13: 1.78155274, 12: 1.78744052, 11: 1.79344588, 10: 1.79939318, 9: 1.80531638, 8: 1.81119298}"
7,7,"{0: 1.76716512, 1: 1.76123113, 2: 1.75523286, 3: 1.74928502, 4: 1.74332461, 5: 1.73741457, 6: 1.73146318, 7: 1.72548731, 15: 1.77305799, 14: 1.77902984, 13: 1.78499608, 12: 1.79090129, 11: 1.79680217, 10: 1.8027199, 9: 1.80873903, 8: 1.8146557}"
8,8,"{0: 1.77082624, 1: 1.76492013, 2: 1.75898008, 3: 1.75299886, 4: 1.74706697, 5: 1.74107467, 6: 1.73509401, 7: 1.72923008, 15: 1.776913, 14: 1.78281104, 13: 1.78878818, 12: 1.79481327, 11: 1.80075229, 10: 1.80664792, 9: 1.81253958, 8: 1.81850305}"
9,9,"{0: 1.77523634, 1: 1.76920711, 2: 1.76323677, 3: 1.75728253, 4: 1.75132592, 5: 1.74531139, 6: 1.73942773, 7: 1.73349995, 15: 1.7812304, 14: 1.78719534, 13: 1.79313972, 12: 1.79919174, 11: 1.80520287, 10: 1.81103965, 9: 1.81701202, 8: 1.8230166}"
10,10,"{0: 1.78022654, 1: 1.77432493, 2: 1.76837799, 3: 1.76235572, 4: 1.75639617, 5: 1.75033337, 6: 1.74440499, 7: 1.73842832, 15: 1.78625055, 14: 1.79231893, 13: 1.79827609, 12: 1.80435164, 11: 1.81028174, 10: 1.81628, 9: 1.82224594, 8: 1.8282983}"
11,11,"{0: 1.78623124, 1: 1.78027078, 2: 1.77419015, 3: 1.76816733, 4: 1.76217653, 5: 1.75624403, 6: 1.75014223, 7: 1.74424098, 15: 1.79232858, 14: 1.79831743, 13: 1.80432641, 12: 1.81031296, 11: 1.81629382, 10: 1.82227532, 9: 1.82833322, 8: 1.83428448}"
12,12,"{0: 1.79318662, 1: 1.78717016, 2: 1.78116041, 3: 1.77506293, 4: 1.76908171, 5: 1.76308422, 6: 1.75704432, 7: 1.75094777, 15: 1.79922076, 14: 1.80523406, 13: 1.81116429, 12: 1.81722108, 11: 1.82327899, 10: 1.82933297, 9: 1.83538479, 8: 1.84137741}"
13,13,"{0: 1.80149371, 1: 1.79549841, 2: 1.78935649, 3: 1.78331976, 4: 1.77730278, 5: 1.77116747, 6: 1.76511806, 7: 1.75912747, 15: 1.80755709, 14: 1.81353644, 13: 1.81959213, 12: 1.8256924, 11: 1.83177379, 10: 1.83782272, 9: 1.8438277, 8: 1.84990871}"
14,14,"{0: 1.81167476, 1: 1.80551737, 2: 1.79945788, 3: 1.79337035, 4: 1.78728292, 5: 1.78116966, 6: 1.77517258, 7: 1.76907506, 15: 1.81768455, 14: 1.8238069, 13: 1.82991431, 12: 1.83603782, 11: 1.84212509, 10: 1.84814766, 9: 1.85437706, 8: 1.86041164}"
15,15,"{0: 1.8243274, 1: 1.81820379, 2: 1.81212983, 3: 1.80599049, 4: 1.79980529, 5: 1.79362346, 6: 1.7875542, 7: 1.78143349, 15: 1.83044117, 14: 1.83656014, 13: 1.84272081, 12: 1.84891237, 11: 1.85501699, 10: 1.86111752, 9: 1.86725465, 8: 1.87335019}"
