,CurveSetCode,BandGapValue
0,0,"{0: 1.73337749, 1: 1.72754371, 2: 1.72173055, 3: 1.71588691, 4: 1.71005033, 5: 1.70419232, 6: 1.69828254, 7: 1.69246539, 15: 1.73919531, 14: 1.74498349, 13: 1.75078958, 12: 1.75658608, 11: 1.7623938, 10: 1.76826162, 9: 1.7741333, 8: 1.78001585}"
1,1,"{0: 1.73490939, 1: 1.72908267, 2: 1.7231874, 3: 1.71728729, 4: 1.71153542, 5: 1.70565251, 6: 1.69980574, 7: 1.69399076, 15: 1.74074794, 14: 1.74654168, 13: 1.7524342, 12: 1.75831025, 11: 1.76413188, 10: 1.76994621, 9: 1.7757443, 8: 1.78161468}"
2,2,"{0: 1.73664295, 1: 1.73078181, 2: 1.72492194, 3: 1.71907322, 4: 1.71322653, 5: 1.70743177, 6: 1.70155912, 7: 1.69566351, 15: 1.74249327, 14: 1.74832638, 13: 1.75418108, 12: 1.760034, 11: 1.76584748, 10: 1.77165614, 9: 1.77746959, 8: 1.78340935}"
3,3,"{0: 1.73851288, 1: 1.73269432, 2: 1.72690263, 3: 1.72100823, 4: 1.71517937, 5: 1.7092654, 6: 1.7034463, 7: 1.69755418, 15: 1.74434682, 14: 1.75022192, 13: 1.7561221, 12: 1.76192075, 11: 1.76775367, 10: 1.77356351, 9: 1.77938453, 8: 1.78535997}"
4,4,"{0: 1.74067412, 1: 1.73476247, 2: 1.72904012, 3: 1.7230917, 4: 1.71725311, 5: 1.71143293, 6: 1.70551402, 7: 1.69961572, 15: 1.74649751, 14: 1.75242474, 13: 1.75831539, 12: 1.76411664, 11: 1.76991007, 10: 1.77582482, 9: 1.78167191, 8: 1.78756203}"
5,5,"{0: 1.74303272, 1: 1.73718378, 2: 1.73137516, 3: 1.72544264, 4: 1.71955745, 5: 1.7138169, 6: 1.70789833, 7: 1.70195309, 15: 1.74885099, 14: 1.75476192, 13: 1.76063821, 12: 1.766497, 11: 1.77234214, 10: 1.77824443, 9: 1.7840988, 8: 1.79000518}"
6,6,"{0: 1.74570357, 1: 1.73984763, 2: 1.73394334, 3: 1.7280757, 4: 1.72218176, 5: 1.7162696, 6: 1.71041209, 7: 1.70452361, 15: 1.75152047, 14: 1.7574246, 13: 1.76327546, 12: 1.76916944, 11: 1.77499788, 10: 1.78091677, 9: 1.78677416, 8: 1.79265901}"
7,7,"{0: 1.74861481, 1: 1.74280132, 2: 1.73691169, 3: 1.73100459, 4: 1.7251121, 5: 1.71928533, 6: 1.71334455, 7: 1.70742108, 15: 1.75447644, 14: 1.76035389, 13: 1.7663273, 12: 1.77217563, 11: 1.77806196, 10: 1.7839436, 9: 1.78981766, 8: 1.79575727}"
8,8,"{0: 1.75207373, 1: 1.74611574, 2: 1.74026247, 3: 1.73437442, 4: 1.72845887, 5: 1.72256304, 6: 1.71670081, 7: 1.71076358, 15: 1.75793563, 14: 1.76385287, 13: 1.76978307, 12: 1.77558431, 11: 1.78149757, 10: 1.78741725, 9: 1.79335411, 8: 1.79923913}"
9,9,"{0: 1.75594848, 1: 1.74997654, 2: 1.74406785, 3: 1.73818469, 4: 1.73230751, 5: 1.72644413, 6: 1.72051368, 7: 1.71457261, 15: 1.76188016, 14: 1.76773038, 13: 1.77367791, 12: 1.77956362, 11: 1.78547368, 10: 1.79134452, 9: 1.79728378, 8: 1.80317895}"
10,10,"{0: 1.76041858, 1: 1.75450624, 2: 1.74857767, 3: 1.74265526, 4: 1.73673676, 5: 1.73078905, 6: 1.72484053, 7: 1.71895505, 15: 1.76635454, 14: 1.77227794, 13: 1.77819132, 12: 1.78417179, 11: 1.79002681, 10: 1.79597421, 9: 1.80182459, 8: 1.80786176}"
11,11,"{0: 1.76563602, 1: 1.75966487, 2: 1.7537344, 3: 1.7477891, 4: 1.74187898, 5: 1.73593866, 6: 1.72998458, 7: 1.72402096, 15: 1.77152897, 14: 1.77745358, 13: 1.78341486, 12: 1.78936079, 11: 1.79525005, 10: 1.8011677, 9: 1.80710881, 8: 1.81310053}"
12,12,"{0: 1.77167624, 1: 1.76574146, 2: 1.75983451, 3: 1.75387407, 4: 1.7478849, 5: 1.7419351, 6: 1.73593914, 7: 1.72997207, 15: 1.77772065, 14: 1.78366393, 13: 1.7895766, 12: 1.79555065, 11: 1.80154164, 10: 1.80746254, 9: 1.81346223, 8: 1.81943032}"
13,13,"{0: 1.77906221, 1: 1.7730672, 2: 1.76714226, 3: 1.76116247, 4: 1.7551509, 5: 1.74919557, 6: 1.74320293, 7: 1.73715826, 15: 1.78507472, 14: 1.79105304, 13: 1.79701566, 12: 1.80298677, 11: 1.80897758, 10: 1.81501611, 9: 1.8209478, 8: 1.82694713}"
14,14,"{0: 1.78807737, 1: 1.78209161, 2: 1.77612109, 3: 1.77007498, 4: 1.76404418, 5: 1.75805201, 6: 1.75206342, 7: 1.74607019, 15: 1.79409992, 14: 1.80010762, 13: 1.80616965, 12: 1.81218151, 11: 1.81818602, 10: 1.8242012, 9: 1.83019556, 8: 1.8361698}"
15,15,"{0: 1.79938875, 1: 1.79328961, 2: 1.78724245, 3: 1.78126531, 4: 1.77526692, 5: 1.76919317, 6: 1.76309019, 7: 1.75707597, 15: 1.80537199, 14: 1.81140078, 13: 1.81750767, 12: 1.82357485, 11: 1.82958878, 10: 1.835585, 9: 1.84163072, 8: 1.84768815}"
